sports,supernatural,comedy,ecchi,sci-fi,psychological,mahou shoujo,horror,drama,thriller,action,mystery,hentai,music,fantasy,adventure,mecha,slice of life,romance
15,7,6,25,1,19,76,19,1,19,1,5,188,57,8,1,30,16,16
17,8,15,51,5,26,77,27,5,239,5,7,203,122,21,6,31,17,24
18,27,16,59,6,30,100,33,6,323,6,19,211,165,33,8,32,24,44
22,33,17,63,25,31,103,47,7,438,7,30,213,243,48,21,54,53,45
23,47,20,79,26,32,111,55,16,570,15,48,214,328,55,25,58,57,49
52,49,21,112,27,43,122,58,18,658,18,132,217,474,56,33,71,66,50
135,50,22,133,29,47,142,104,19,889,20,142,220,507,61,45,73,101,51
170,51,24,151,30,58,151,150,21,934,21,149,221,521,67,47,75,105,53
183,60,25,157,31,108,178,155,26,1346,22,150,316,604,69,48,80,119,58
185,64,28,174,32,134,179,159,27,1451,23,165,320,671,74,55,81,120,59
186,74,45,180,43,165,232,169,30,1492,25,169,368,731,76,56,82,133,60
187,101,49,181,47,198,349,220,31,1519,26,173,651,877,77,58,83,144,61
234,120,50,189,48,226,350,226,32,1535,27,188,692,1021,79,67,84,145,62
263,122,52,193,52,228,351,228,33,1556,29,198,724,1025,98,68,85,147,63
264,129,53,197,54,235,352,258,44,1575,30,202,741,1041,99,81,86,148,67
265,135,57,198,55,252,353,270,46,1889,32,208,753,1042,100,82,87,158,72
287,144,59,201,56,279,371,279,49,1943,33,220,755,1049,103,84,88,170,79
288,150,61,204,58,323,372,294,51,2204,43,222,823,1072,107,90,89,189,81
292,153,63,210,59,326,435,300,52,2562,44,228,827,1088,108,92,90,191,94
311,154,64,226,63,339,505,326,53,2593,45,235,828,1089,112,95,91,210,96
312,169,65,241,68,369,518,369,54,2698,47,239,830,1110,115,96,92,240,98
313,188,66,248,69,376,521,376,57,2904,51,244,972,1203,117,97,93,242,100
314,198,68,257,71,384,530,384,58,2994,54,252,977,1211,118,103,94,245,101
359,199,71,268,73,387,531,395,59,3002,55,272,1038,1224,121,104,95,260,102
386,200,72,274,75,395,532,405,62,3093,60,279,1113,1262,123,107,96,261,103
388,207,74,275,80,437,564,413,64,3420,61,299,1263,1390,124,108,98,266,104
390,226,76,276,81,440,577,437,65,3652,64,301,1272,1397,127,109,109,273,105
406,228,77,277,82,441,603,499,74,3782,65,308,1273,1398,130,110,113,283,106
425,239,79,297,83,457,604,514,75,3783,67,323,1274,1399,131,111,127,322,113
427,250,96,306,84,467,614,543,76,4039,69,326,1275,1400,136,112,128,325,117
428,252,98,318,85,468,615,553,77,4280,71,335,1331,1427,137,115,141,328,119
429,269,99,319,86,486,616,586,79,4282,72,339,1332,1457,138,116,143,329,120
476,270,100,321,87,514,626,601,80,4715,73,341,1339,1497,139,117,159,330,122
551,273,102,330,88,559,687,617,81,4725,76,364,1353,1504,142,118,165,334,123
558,279,103,354,89,567,688,618,82,4879,77,365,1359,1561,149,121,166,345,124
627,291,104,357,90,570,689,620,83,4901,90,369,1360,1579,153,123,167,346,125
645,303,105,366,91,584,721,621,84,5177,91,387,1383,1655,155,124,180,348,126
658,304,106,370,92,586,740,665,85,5204,93,407,1385,1698,156,129,181,350,133
